termo;buscas_mes;resultados;preco_medio;bsr_medio_top;tipo;observacao
caça-palavras letra grande adultos;6200;3200;7.99;18000;caca-palavras;nicho estável o ano todo
sudoku fácil para iniciantes;9800;12000;6.99;25000;sudoku;muita concorrência, preço baixo
labirintos para crianças 6 anos;4100;2100;6.49;40000;labirinto;sazonal (férias)
planner semanal 2027;15000;8500;9.99;9000;planner;pico em novembro e dezembro
rastreador de hábitos 12 meses;3300;900;8.99;35000;habitos;pouca concorrência
caderno pontilhado bullet journal;12500;22000;7.49;15000;pontilhado;saturado
diário de gratidão 90 dias;5400;4300;8.49;22000;pautado;boa margem
livro de receitas em branco;7000;5200;9.49;30000;pautado;presente
caça-palavras bíblico;2900;700;7.99;45000;caca-palavras;público fiel, baixa concorrência
sudoku samurai difícil;1200;400;8.99;90000;sudoku;pouca demanda
