programa;id;nome;marca;categoria;preco;preco_antigo;comissao;bsr;vendas_mes;avaliacao;avaliacoes;url;link;imagem;descricao;pros;contras;atributos;palavras_chave;publico
amazon-br;B0EXEMPLO01;Fritadeira Elétrica sem Óleo Air Fryer 5,5 L Digital 1500 W;Nordika;Cozinha;399.90;479.90;;85;;4.7;12840;;;;Air fryer digital de 5,5 litros com 8 programas pré-definidos, cesto antiaderente removível e desligamento automático. Prepara porções para até 5 pessoas com pouco ou nenhum óleo.;"Cesto grande de 5,5 L para famílias; Painel digital com 8 programas; Cesto antiaderente que vai à lava-louças; Aquece rápido (1500 W)";"Ocupa bastante espaço na bancada; Cabo curto (80 cm)";"capacidade=5,5 L; potência=1500 W; voltagem=110 V ou 220 V (escolha ao comprar); programas=8; temperatura=80 °C a 200 °C; timer=60 min; garantia=12 meses";air fryer 5 litros, fritadeira sem óleo, air fryer digital;famílias de 3 a 5 pessoas que querem preparar refeições rápidas com pouco óleo
amazon-br;B0EXEMPLO02;Fone de Ouvido Bluetooth In-Ear com Cancelamento de Ruído Ativo e Estojo;Solaris;Eletrônicos;249.00;;;210;;4.5;8930;;;;Fone TWS com cancelamento ativo de ruído, Bluetooth 5.3, até 32 horas de bateria com o estojo e resistência à água IPX5.;"Cancelamento de ruído eficiente para o preço; Bateria de até 32 h com estojo; Conexão estável com Bluetooth 5.3; Resistente a suor (IPX5)";"Microfone mediano em chamadas em ambientes barulhentos; App só em inglês";"bluetooth=5.3; bateria=8 h (fone) + 24 h (estojo); resistência=IPX5; cancelamento de ruído=ativo (ANC); carregamento=USB-C; garantia=12 meses";fone bluetooth cancelamento de ruído, fone tws, fone sem fio;quem usa transporte público, trabalha em ambientes barulhentos ou treina com música
amazon-br;B0EXEMPLO03;"Smartwatch com GPS, Oxímetro e Monitor de Sono, Tela AMOLED 1,43""";Solaris;Eletrônicos;329.90;399.90;;540;;4.3;4210;;;;Relógio inteligente com tela AMOLED, GPS integrado, mais de 100 modos esportivos, oxímetro e chamadas por Bluetooth.;"Tela AMOLED brilhante e legível ao sol; GPS integrado (não depende do celular); Bateria de até 10 dias; Chamadas pelo relógio";"Pulseira de silicone acumula suor; Medições de saúde são estimativas, não substituem exames";"tela=1,43"" AMOLED; gps=integrado; bateria=até 10 dias; resistência=5 ATM; compatibilidade=Android 8+ e iOS 12+; garantia=12 meses";smartwatch gps, relógio inteligente, smartwatch amoled;praticantes de corrida e caminhada que querem GPS sem levar o celular
amazon-br;B0EXEMPLO04;Cadeira de Escritório Ergonômica com Apoio Lombar e Braços Ajustáveis;Kaitex;Casa e Decoração;899.00;1099.00;;1200;;4.4;2630;;;;Cadeira ergonômica em tela mesh com apoio lombar regulável, encosto reclinável até 120° e braços 2D.;"Apoio lombar regulável em altura; Encosto em tela respirável; Suporta até 130 kg; Montagem simples (cerca de 20 min)";"Assento firme demais para alguns usuários; Sem apoio de cabeça";"material=tela mesh e nylon; capacidade=130 kg; regulagem=altura, lombar, braços 2D, inclinação; rodízios=PU (silenciosos); garantia=24 meses";cadeira ergonômica, cadeira de escritório, cadeira home office;quem trabalha sentado mais de 6 horas por dia em home office
amazon-br;B0EXEMPLO05;Robô Aspirador e Passa Pano com Mapeamento a Laser e App;Bravo Home;Eletrodomésticos;1899.00;2299.00;;310;;4.6;3105;;;;Robô aspirador com navegação a laser (LiDAR), mapeamento de múltiplos andares, tanque de água para passar pano e controle por app e por voz.;"Mapeamento a laser preciso, sem batidas; Sucção de 4000 Pa; Passa pano com controle de vazão; Funciona com Alexa e Google";"Reservatório de pó pequeno (350 ml); Não sobe tapetes grossos";"sucção=4000 Pa; navegação=LiDAR; bateria=até 180 min; reservatório de pó=350 ml; tanque de água=300 ml; app=Android e iOS; garantia=12 meses";robô aspirador, robô aspirador passa pano, aspirador robô lidar;famílias com pets e casas de até 150 m² que querem limpeza diária automática
amazon-br;B0EXEMPLO06;Panela de Pressão Elétrica Multicooker 6 L com 14 Funções;Nordika;Cozinha;489.90;;;950;;4.6;5570;;;;Panela elétrica multifuncional com 14 programas (pressão, arroz, sopa, iogurte, sous-vide), painel digital e 10 travas de segurança.;"14 programas prontos; Cuba antiaderente removível; 10 sistemas de segurança; Mantém aquecido automaticamente";"Manual pouco detalhado; Cuba não é de inox";"capacidade=6 L; potência=1000 W; voltagem=110 V ou 220 V (escolha ao comprar); programas=14; garantia=12 meses";panela de pressão elétrica, multicooker, panela elétrica;quem cozinha para a semana e quer feijão e carnes rápidas sem vigiar o fogão
amazon-br;B0EXEMPLO07;"Monitor Gamer 27"" 165 Hz 1 ms Full HD IPS com FreeSync";Kaitex;Informática;1149.00;1399.00;;420;;4.7;2980;;;;Monitor IPS de 27 polegadas, 165 Hz, 1 ms (MPRT), FreeSync Premium, HDMI 2.0 e DisplayPort 1.2, ajuste de altura.;"Painel IPS com cores fiéis; 165 Hz para jogos competitivos; Ajuste de altura e pivô; Duas entradas HDMI e uma DisplayPort";"Alto-falantes fracos; Sem HDR real";"tamanho=27""; resolução=1920 x 1080; taxa de atualização=165 Hz; tempo de resposta=1 ms (MPRT); painel=IPS; conexões=2x HDMI 2.0, 1x DP 1.2; garantia=36 meses";monitor gamer 165hz, monitor 27 polegadas, monitor ips;jogadores de FPS e quem quer um monitor rápido para trabalho e jogo
amazon-br;B0EXEMPLO08;Kit 10 Lâmpadas LED Bulbo 12 W Bivolt Branco Frio 6500 K;Lumina;Casa e Decoração;69.90;;;1650;;4.8;19850;;;;Kit com 10 lâmpadas LED bulbo E27 de 12 W (equivalente a 80 W incandescente), bivolt, luz branca fria 6500 K, 1055 lúmens.;"Ótimo custo por lâmpada; Bivolt (110/220 V); 1055 lúmens, bem iluminada; Selo Inmetro";"Luz fria pode cansar em quartos; Não é dimerizável";"potência=12 W; soquete=E27; fluxo luminoso=1055 lm; temperatura de cor=6500 K; voltagem=bivolt; vida útil=25.000 h; garantia=12 meses";lâmpada led 12w, kit lâmpada led, lâmpada bulbo;quem quer trocar a iluminação da casa inteira gastando pouco
amazon-br;B0EXEMPLO09;"Mochila para Notebook 15,6"" Impermeável com USB e Compartimento Antifurto";Trilha Norte;Moda;159.90;199.90;;780;;4.6;7450;;;;"Mochila executiva com compartimento acolchoado para notebook de até 15,6"", tecido impermeável, porta USB externa e bolso antifurto nas costas.";"Compartimento acolchoado para notebook; Tecido impermeável; Bolso antifurto; Alças acolchoadas e respiráveis";"Cabo USB interno curto; Zíper principal poderia ser mais robusto";"capacidade=25 L; notebook=até 15,6""; material=poliéster impermeável; peso=780 g; garantia=6 meses";mochila notebook, mochila impermeável, mochila antifurto;estudantes e profissionais que andam de transporte público com notebook
amazon-br;B0EXEMPLO10;Máquina de Café Espresso Automática com Moedor Integrado e Vaporizador;Nordika;Cozinha;2490.00;2890.00;;3900;;4.5;890;;;;Cafeteira espresso automática com moedor cônico integrado, 15 bar, vaporizador para leite e painel touch com 6 receitas.;"Moedor integrado com 13 níveis; 15 bar de pressão; Vaporizador potente para leite; Painel touch simples";"Barulhenta ao moer; Reservatório de água pequeno (1,2 L)";"pressão=15 bar; moedor=cônico, 13 níveis; reservatório=1,2 L; potência=1350 W; voltagem=110 V ou 220 V (escolha ao comprar); garantia=12 meses";máquina de café espresso, cafeteira automática, cafeteira com moedor;quem toma vários cafés por dia e quer espresso de grão sem depender de cápsulas
